Everyone but Trump
Counts of Adjectives
Word	Count
Federal	10
busy	5
southern	17
lucky	8
identical	3
sweeping	2
oldest	3
proudest	2
immoral	1
other—	1
12-yearold	1
advanced	8
renewable	6
immense	2
smart	35
Great	8
Independent	2
clean-	1
solar	26
modern	15
multinational	4
accountable	16
Stronger	2
sustained	2
robust	5
inclusive	3
Second	5
investigative	2
enthusiastic	1
relieved	1
dire	5
ineffective	4
unconstitutional	1
violent	13
unintended	4
likely	25
systemic	2
mandatory	20
minimum	34
commonsense	4
outgunned	1
terrorist	54
experienced	2
Mental	1
excellent	11
racist	4
hurtful	2
commercial	7
praiseworthy	1
preferred	1
shocked	1
unfit	2
cognizant	1
dismissive	2
Muslim	11
covert	11
nearby	1
in-	1
cavalier	3
global	41
Latina	1
optimistic	20
prior	6
fit	2
harshest	2
understandable	5
Last	10
divisive	4
dark	8
sighted	1
demagogic	2
jihadist	3
welcome	1
4-year	8
catastrophic	17
unwise	5
12th	1
principled	3
amusing	2
lost	1
decent	30
Peshmerga	1
principal	5
south	1
hateful	1
brutal	7
reverse	1
unaccountable	3
online	3
damaging	2
intense	2
consequential	2
electoral	4
upstate	2
sensible	9
upset	5
intimate	1
stringent	1
undocumented	14
disturbing	10
ironic	2
terrifying	1
New	3
two-	1
distraught	1
untrue	5
disgusting	3
uncomfortable	4
thrilled	2
renowned	1
six-	1
40-plus	1
horrifying	1
funny	3
let's	2
red	13
hopeful	11
Sunni	1
haunting	1
thorough	1
smarter	6
smartest	2
academic	1
aerial	1
callow	1
ours	4
5-minute	1
excessive	11
eyed	1
grand	7
crafty	1
expert	1
intricate	1
desperate	9
granddaughter-	1
nil	2
substantive	1
deeper	9
double	16
bare	2
conventional	32
talented	3
Nasty	1
stinky	1
beloved	3
angry	7
long-	1
subprime	4
overhead	3
across-	1
overwhelming	10
convincing	3
urgent	3
truthful	1
objective	8
fringe	1
Military	1
derogatory	2
dedicated	4
patriotic	11
freth	1
fresh	13
cockamamie	1
Venezuelan	1
Canadian	1
hybrid	2
doable	1
Free	3
alarming	1
physical	2
refundable	6
cosmetic	1
pro-	3
nationwide	2
precious	12
workable	1
inaudible	12
fearful	4
severe	12
diminished	1
innovative	4
above	7
rifle	1
Small	7
complex	8
excess	3
Nuclear	6
disposable	2
pure	5
productive	11
weary	2
OK	6
cool	1
darn	3
Remarkable	1
cooperative	3
Afghan	21
Pakistani	4
rough	2
veteran	1
streamlined	1
normal	8
social	42
petro	2
naked	1
petty	1
stinking	3
unexpected	1
steady	12
stricter	1
paternal	1
runaway	3
objectionable	2
rife	1
classic	8
wasteful	4
generous	2
unnecessary	12
initial	5
sectarian	2
wildest	2
allied	1
fragile	3
complicated	6
capable	12
vain	3
calamitous	1
connected	4
existential	1
meaningful	5
beneficial	7
lethal	2
provocative	6
to-	2
naive	6
repressive	2
accidental	1
Georgian	3
peculiar	2
sandy	1
muddy	1
bloody	1
uncontrollable	1
spurious	1
unsound	1
gradual	3
unused	2
exact	8
gaunt	1
Unkept	1
quiet	5
guilty	15
revolutionary	3
hypocritical	1
civilized	3
rapid	5
actual	7
definite	2
unilateral	14
mad	2
verifiable	8
multiple	5
strictest	5
occupational	1
wellknown	1
ridiculous	10
evident	2
actuarial	2
ineligible	2
closest	4
foolish	2
mischievous	1
Next	1
populous	1
lonely	4
Executive	2
destabilizing	5
sane	2
evil	3
hypothetical	4
M-1	1
Lebanese	2
occasional	1
factional	1
dominant	4
multilateral	3
sixth	2
unidentified	1
suicidal	1
simpler	3
airborne	1
landbased	2
intermediate	3
Latin	3
Malthusian	1
prime	11
philosophical	8
biblical	1
deterrent	1
incoming	1
counter	1
imminent	3
stalwart	2
maniacal	1
Marxist	4
Leninist	1
totalitarian	3
Human	2
warm	4
destructive	2
prominent	2
instrumental	3
orderly	3
broke	1
firmest	1
stupid	3
secular	1
gigantic	1
consecutive	2
dirty	7
premature	2
strange	4
Judeo	4
undertaxed	1
overfed	1
hardest	12
equitable	2
used--"last	1
slight	3
later	3
blind	8
deductible	5
1-year	1
needy	2
uneven	1
destitute	2
further	11
confused	3
plus	1
spare	7
freest	1
ambivalent	1
confusing	4
overregulated	2
fullest	3
83-year	1
Affirmative	4
exclusionary	2
immigrant	2
universal	9
socialist	2
unconscionable	7
Gordian	1
female	2
50-trillion	2
emotional	2
ugly	6
gruesome	2
contradictory	2
precipitous	3
unbelievable	7
Caribbean	1
friendly	8
socioeconomic	1
mixed	11
capitalistic	2
secondary	5
tertiary	2
infrared	1
overtaxed	1
eastern	9
affluent	1
musical	1
mezzo	1
astounded	1
triple	2
quadruple	1
entrepreneurial	3
vigorous	11
bloodiest	1
defunct	1
amiss	1
underpaid	2
indefatigable	1
20-percent	1
40-percent	2
profitable	2
richest	7
heaviest	1
equivalent	5
Vietnamese	1
down	5
obsolescent	2
economical	2
purposeful	2
manageable	3
sharp	8
influential	1
advisory	2
substantial	9
50-percent	4
14-percent	1
graduate	1
developed	3
standardized	1
peak	1
Appalachian	1
6-percent	3
unbalanced	5
dummy	1
wealthier	2
pornographic	2
it's	2
lower-	1
erroneous	2
coterminus	1
cohesive	1
audio	1
compatible	1
sensitive	6
untapped	1
innate	1
10-percent	4
selfish	2
I've	2
Other	4
notable	2
crucial	13
Large	1
unlikely	1
standard	10
Yugoslavian	1
unwarranted	5
indicative	5
Presidential	8
scarce	2
geological	1
archeological	1
Dead	1
advantaged	1
articulate	2
30-percent	6
debative	1
downtrodden	1
liberated	1
dormant	3
slow	10
200-year	1
cautious	4
transient	1
incompetent	3
advisable	1
judicial	8
Civil	2
indigent	1
ashamed	4
35-percent	2
callous	1
embarrassed	4
naval	3
horrible	7
magic	1
spectacular	2
contrary	7
organized	2
focused	7
deliberate	1
vivid	1
unequivocal	2
integral	4
organic	1
inconceivable	1
Moslem	1
individualized	1
bilateral	12
enriched	1
staunch	2
regional	9
Panamanian	5
foreseeable	3
reluctant	5
embarrassing	4
fragmentary	1
wiser	1
neat	2
plausible	1
methodical	1
imperative	1
briefest	1
intact	3
future	23
heartless	1
122-percent	1
73-percent	1
Spanish	1
coherent	1
societal	1
deprived	1
synthetic	3
stern	1
fearsome	1
warlike	1
frozen	2
observable	1
antiballistic	1
7-year	2
misleading	7
adversarial	3
belligerent	2
formidable	1
dynamic	5
unequaled	1
minimal	2
viable	6
peremptory	1
commensurate	2
inpatient	1
historical	7
deleterious	1
west	1
careless	1
useful	5
constructive	6
hospitable	3
tentative	1
impressed	4
stark	5
inaugural	1
latter	1
unsatisfactory	1
minute	2
known	2
Medical	7
grave	7
All	11
moderate	15
external	1
satisfactory	4
relative	8
unfinished	3
d-	1
contented	1
vague	1
underdeveloped	8
Which	10
uninterested	1
unwilling	12
misinformed	1
outer	9
